Code WZ 2008;Level;Title
A;1;Agriculture, forestry and fishing
01;2;Crop and animal production, hunting and related service activities
011;3;Growing of non-perennial crops
0111;4;Growing of cereals (except rice), leguminous crops and oil seeds
01110;5;Growing of cereals (except rice), leguminous crops and oil seeds
0112;4;Growing of rice
01120;5;Growing of rice
0113;4;Growing of vegetables and melons, roots and tubers
01131;5;Growing of vegetables and melons
01132;5;Growing of potatoes and other roots and tubers
